USER_ID,NAME,LATITUDE,LONGITUDE,SLOPE,SLOPE_SHAPE,texture_for_soil_horizon_1,texture_for_soil_horizon_2,texture_for_soil_horizon_3,texture_for_soil_horizon_4,texture_for_soil_horizon_5,texture_for_soil_horizon_6,texture_for_soil_horizon_7,SOIL_PROFILE_AWC
2194,dwkimiti@gmail.com-UHURU SOUTH,0.282390257344,36.8934234884,3%,"LINEAR,LINEAR",SANDY LOAM,SANDY LOAM,SANDY CLAY LOAM,SANDY CLAY,SANDY CLAY,SANDY CLAY LOAM,,12.205354
,,,,,,SAND   :  65.0,,,,,,
,,,,,,SILT   :  25.0,,,,,,
,,,,,,CLAY   :  10.0,,,,,,
,,,,,,BULK   :  1.46,,,,,,
""
""
WISE3_ID,LATITUDE,LONGITUDE,COUNTRY,SOLDEP,FAO_74,USCL,SLOPE,SIM_STAGE_1,SIM_STAGE_2,HONU,TOPDEP,BOTDEP,ORGC,TOTN,CACO3,GYPSUM,PHH2O,PHKCL,PHCACL2,ECE,EXCA,EXMG,EXNA,EXK,EXALUM,EXACID,CECSOIL,BSAT,SAND,SILT,CLAY,GRAVEL,BULKDENS,VMC1,VMC2,VMC3,PROFILE_AWC
,,,,,,,,,,1,0,23,9,,1,1,6.5,5.5,,0.1,4.6,2.3,0.3,0.8,0.1,0.1,12.9,62,64,16,20,,,,,,12.1160418854
,,,,,,,,,,2,23,45,9,,0,0,5.9,5.1,,0.1,9.2,2.5,0.7,0.5,,,21,61,44,18,38,,,,,,12.1160418854
,,,,,,,,,,3,45,75,2,,0,0,6.2,5.2,,0.1,7.3,2.6,0.6,0.2,,,13.4,80,58,16,26,,,,,,12.1160418854
,,,,,,,,,,4,75,110,1,,0,0,6.4,5.3,,0.1,5.8,2.4,0.6,0.1,,,10.5,85,70,10,20,,,,,,12.1160418854
UG0002,0.41,32.5616666667,Uganda,160,Ag,AERIC PALEAQUULT,2,0.999330186687,0.950718309314
,,,,,,,,,,1,0,20,13.9,1,0,0,4.5,,4.2,0,2.7,0.8,0.1,0.1,0.5,8.9,8,46,71,14,15,,1.26,,22,8,12.5446051964
,,,,,,,,,,2,20,37,9,0.6,0,0,4.5,,3.9,0,0.9,0.2,0.1,,1.4,7.8,6.1,,73,13,14,,1.2,,,,12.5446051964
,,,,,,,,,,3,37,51,5.2,0.4,0,0,4.5,,3.9,0,0.6,0.1,0.1,,1.2,4.8,4.3,,73,13,14,,1.55,,23,9,12.5446051964
,,,,,,,,,,4,51,76,4.1,0.4,0,0,4.6,,4,0,0.9,0.5,0.1,,1.4,5.6,5,,61,12,27,,1.69,,25,15,12.5446051964
,,,,,,,,,,5,76,98,4.1,,0,0,4.6,,4.1,0,1.5,0.7,,,0.9,5.8,5.6,,57,12,31,,1.68,,29,17,12.5446051964
,,,,,,,,,,6,98,119,4.4,,0,0,4.8,,4.3,0,2.4,1.1,,,0.4,5.5,6,,53,12,35,,1.69,,31,20,12.5446051964
,,,,,,,,,,7,119,136,3.3,,0,0,4.8,,4.2,0,2.4,1.1,,,0.5,5.5,5.9,,53,12,35,,1.72,,28,20,12.5446051964
,,,,,,,,,,8,136,150,2.5,,0,0,4.9,,4.3,0,1.8,1,,,0.4,5.7,5.6,,55,12,33,,1.73,,28,20,12.5446051964
,,,,,,,,,,9,150,160,2,,0,0,4.9,,4.2,0,1.5,0.9,,,0.6,5.3,5.1,,56,11,33,,1.72,,27,20,12.5446051964
KE0245,-2.50972222222,37.7097222222,Kenya,90,Tm,,,0.99920179155,0.93789506195
,,,,,,,,,,1,0,15,26,2.9,,,7.4,5.6,,,18.2,6.6,0.3,4.9,0,0,33,91,59,19,22,,1.14,,35,18,7.15722984366
,,,,,,,,,,2,15,28,16,1.8,,,7.6,5.8,,,19.4,8,0.3,4.2,0,0,31,100,61,21,18,,1.09,,32,14,7.15722984366
,,,,,,,,,,3,28,40,15,,,,7.8,6,,,24,9,0.6,4.8,0,0,37,100,51,23,26,,1.06,,39,19,7.15722984366
,,,,,,,,,,4,40,60,15,,,,7.8,6.2,,,27,13.7,0.8,4.6,0,0,40,100,38,24,38,,1.04,,37,22,7.15722984366
,,,,,,,,,,5,60,90,10,,,,8.6,6.6,,,47,36,4.6,8.2,0,0,43,100,,,,,,,,,7.15722984366
